"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOPRVHMOLLCDEHNHB00598043";3;2018;27;1;70;11700;5850;1;266;4;3;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";4;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;2;98;0;0;0;265
"TQRMNOQYTHMMKTCDEIMBF00599898";3;2018;36;1;14;26500;8833,33;1;134;2;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;2;3;0;0;135
"TQRMNORQSHMLKNCDEGLDF00596666";3;2018;15;1;34;14000;14000;1;163;5;4;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;0;1;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;97;0;98;0;0;0;150
"TQRMNOSRPHKKKUCDEGLDF00619232";3;2018;15;1;34;60000;60000;1;336;2;1;2;0;2;1;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;96;0;98;0;0;0;309
"TQRMNOSQWHKMKQCDEGKDB00619107";3;2018;14;1;30;27000;13500;1;99;4;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;0;2;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;83
"TQRMNOQYSHJMLNCDEGGFB00613084";3;2018;10;1;50;0;0;1;0;3;3;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;6;2;4;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;0;98;0;0;0;439
"TQRMNOQRRHKOMSCDEIJAH00621914";3;2018;33;1;6;44000;14666,67;1;1542;4;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;1;2;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;944
"TQRMNOSPYHJNMOCDEFKID00617776";3;2018;4;1;82;6000;2000;1;611;1;1;2;0;2;2;2;0;0;0;0;2;"";3;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;3;0;3;1;"";1;3;"";4;2;2;1;"";1;2;2;3;2;2;1;1;0;98;0;0;0;714
"TQRMNOSWUHMOKOCDEHIBB00597251";3;2018;22;1;10;6700;3350;1;155;1;1;2;0;2;2;2;0;0;0;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";1;2;"";2;2;2;1;"";1;1;2;1;1;2;2;1;0;98;0;0;0;154
"TQRMNOPURHLMLQCDEFMDB00589563";3;2018;6;1;30;0;0;1;0;4;1;2;0;1;2;2;2;0;2;0;1;"";2;"";2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;131
"TQRMNOPYPHKLLLCDEFNFF00618171";3;2018;7;1;54;27400;9133,33;1;457;4;3;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2;2;3;0;3;1;"";4;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;0;3;1;0;0;346
"TQRMNOPTUHLMLMCDEIJAH00593700";3;2018;33;1;6;0;0;1;0;4;4;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;"";4;1;"";1;2;1;1;"";1;1;1;2;2;1;2;1;8;98;0;0;0;2865
"TQRMNOQWWHMLKPCDEFIAH00600530";3;2018;2;1;6;0;0;1;0;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;867
"TQRMNOPVYHLOLSCDEFIAH00594845";3;2018;2;1;6;25500;25500;1;776;2;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";2;1;"";4;1;1;1;"";1;1;1;3;2;2;2;2;0;97;0;0;0;627
"TQRMNOQQVHLOKTCDEGJBF00590705";3;2018;13;1;14;53000;10600;1;638;3;3;2;0;1;2;1;2;0;2;0;2;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;0;98;0;0;0;613
"TQRMNOSPYHLMKQCDEIOAH00594317";3;2018;38;1;6;42100;21050;1;125;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;118
"TQRMNOPRPHKLLSCDEFJAH00617544";3;2018;3;1;6;50000;16666,67;1;337;5;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;0;3;1;"";5;1;"";3;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;236
"TQSMNOQYVHJOKOCDEGKDB00613485";3;2018;14;1;30;6200;3100;1;85;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;0;2;1;"";1;2;"";4;1;1;1;"";1;2;1;1;2;2;2;2;0;98;0;0;0;88
"TQRMNOSRRHLNQSCDEIJAH00593303";3;2018;33;1;6;0;0;1;0;1;1;2;0;2;2;2;0;0;0;0;4;"";2;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;4;2;2;1;"";1;2;"";4;1;2;1;"";1;2;2;2;2;1;2;2;0;1;0;0;0;474
"TQRMNORYYHKOKOCDEGIBJ00618700";3;2018;12;1;18;0;0;1;0;3;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;"";3;1;"";4;1;1;1;"";1;1;1;1;1;2;2;2;0;1;0;0;0;241
"TQRMNOPPRHLKKPCDEOJAH00600313";3;2018;93;1;62;22500;22500;1;93;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;96;0;98;0;0;0;64
"TQRMNOPWPHJOMNCDEGJBF00613360";3;2018;13;1;14;11250;3750;1;783;1;1;2;0;2;2;2;0;0;0;0;2;"";2;"";3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;1;2;2;"";1;1;"";2;1;2;1;"";1;2;2;2;2;2;2;1;0;98;0;0;0;833
"TQRMNOQSPHJOMLCDEGGFB00613082";3;2018;10;1;50;25700;12850;1;563;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;487
"TQSMNOQXVHMOKUCDEIOAH00600133";3;2018;38;1;6;48000;12000;1;61;2;2;2;0;2;2;2;0;0;0;0;4;"";2;"";3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;37
