CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNORVXHJMKMCDELIJB00650568;3;2021;62;1;90;222000;55500;1;380;8;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;;8;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;360
TQRMNOPTVHJLKNCDELIJB00650569;3;2021;62;1;90;55000;18333,33;1;316;2;2;2;0;1;1;2;2;0;2;0;1;;2;;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;1;;3;2;;4;2;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;297
TQRMNOPTWHJLKNCDELIJB00650570;3;2021;62;1;90;0;0;1;0;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;208
TQRMNOSPWHJLKNCDELIJB00650571;3;2021;62;1;90;34600;11533,33;1;260;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;237
TQRMNOSQQHJLKNCDELIJB00650573;3;2021;62;1;90;51000;25500;1;149;3;2;2;0;1;2;2;2;0;2;0;6;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;0;2;1;;3;2;;4;1;2;1;;1;2;2;2;2;2;2;2;0;98;0;0;0;142
TQRMNORRSHJLKNCDELIJB00650574;3;2021;62;1;90;14000;7000;1;150;4;3;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;0;2;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;1;0;98;0;0;0;149
TQRMNOPQXHJLKUCDELIJB00650576;3;2021;62;1;90;32000;32000;1;149;2;1;2;0;1;2;2;2;0;2;0;2;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;1;;2;1;;1;2;1;1;;1;1;1;3;2;2;2;1;0;98;0;0;0;143
TQRMNORRUHJLKNCDELIJB00650577;3;2021;62;1;90;107000;21400;1;235;4;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;5;0;5;1;;4;2;;4;1;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;218
TQRMNOPUUHJKKOCDELIJB00650578;3;2021;62;2;90;31800;15900;1;149;4;1;2;0;2;1;2;2;0;2;0;6;;2;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;4;2;;4;2;1;1;;1;2;1;2;2;2;2;2;0;98;0;0;0;141
TQRMNORUUHJMKMCDELIJB00650579;3;2021;62;1;90;57000;28500;1;560;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;529
