CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQTMNORQYHJOLQCDEGLDF00789513;3;2022;15;1;34;58000;29000;1;433;1;1;2;0;2;2;2;0;0;0;0;3;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;3;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;401
TQRMNOQPPHLNLPCDEIGED00791017;3;2022;30;1;42;160000;160000;1;197;2;1;1;1;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;0;1;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;150
TQRMNOSPVHKNKQCDEIKAH00792462;3;2022;34;1;6;0;0;1;0;4;2;2;0;2;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;501
TQRMNOSSTHJLLMCDEFKID00782041;3;2022;4;1;82;81000;81000;1;934;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;1;0;1;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;97;0;0;0;732
TQRMNOQWWHMMKTCDEIMBF00714068;3;2022;36;2;14;147000;36750;1;189;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;1;2;2;2;4;2;2;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;159
TQRMNOPWUHJLTOCDEIJAH00785935;3;2022;33;1;6;0;0;1;0;3;1;2;0;1;1;1;2;0;2;0;8;;1;;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;0;1;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;2690
TQRMNOSUSHJLKNCDEHNHB00784755;3;2022;27;1;70;97500;48750;1;347;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;;3;1;;7;2;1;1;;1;2;2;1;2;2;2;96;0;98;0;0;0;350
TQRMNORYQHJOSQCDEIJAH00786273;3;2022;33;1;6;194000;48500;1;10151;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;0;4;1;;2;1;;3;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;3740
TQRMNORUVHJKKRCDEHNHB00784783;3;2022;27;1;70;180000;90000;1;335;5;2;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;332
TQRMNORVYHJKKRCDEHNHB00784770;3;2022;27;1;70;327500;163750;1;330;3;2;2;0;2;2;2;0;0;0;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;329
TQRMNOQRPHJLLLCDEIGED00785087;3;2022;30;1;42;115000;28750;1;327;3;3;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;4;1;3;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;2;3;4;0;0;169
TQRMNOQTTHJMKUCDEHJGH00784470;3;2022;23;1;66;230400;57600;1;249;5;3;1;2;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;2;3;4;0;0;0;246
TQRMNORVUHJNKSCDEIOAH00786998;3;2022;38;1;6;0;0;1;0;3;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;3;98;0;0;0;126
TQRMNOTXVHJOLLCDEHGHJ00784142;3;2022;20;1;78;0;0;1;0;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;1;2;2;2;4;2;2;2;;1;1;;4;1;1;1;;1;1;1;1;2;1;2;1;0;2;0;0;0;298
