"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V3";"V4";"V6";"V7";"V8";"V9";"V10";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA";"V2_01";"V21_01";"V22_01";"V2_02";"V21_02";"V22_02";"V2_03";"V21_03";"V22_03";"V5_01";"V5_02";"V5_03";"V11_01";"V11_02"
"TQRMNOQWTHLMLNCDEIMBF00808079";3;2024;36;1;14;0;0;1;0;3;2;2;0;1;2;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;4;2;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;201;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORPVHKOLQCDEIMBF00869133";3;2024;36;1;14;0;0;1;0;3;1;2;0;1;2;1;2;0;2;0;6;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";2;2;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;132;1;1;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOPSVHLOKQCDEGIBJ00804740";3;2024;12;2;18;462000;231000;1;556;1;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;0;2;2;"";1;1;"";2;1;1;1;"";1;1;1;1;1;2;2;1;2;98;0;0;0;575;0;2;2;0;2;2;0;2;2;2;2;2;2;1
"TQRMNOSQQHJMLOCDEHMHF00863388";3;2024;26;1;74;300000;300000;1;161;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;149;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQSPHKMLQCDEHMHF00869134";3;2024;26;1;74;1630000;326000;1;212;3;2;2;0;2;2;2;0;0;0;0;2;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;3;4;0;0;0;165;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQWYHJLLPCDEHMHF00863401";3;2024;26;1;74;244800;61200;1;264;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;2;3;0;0;0;232;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOQPUHLMLQCDEHMHF00806249";3;2024;26;1;74;1210000;302500;1;181;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;3;98;0;0;0;148;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOSRPHMMLQCDEHMHF00811299";3;2024;26;1;74;700000;233333,33;1;192;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;149;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOUXRHLNKPCDEHMHF00863298";3;2024;26;1;74;720000;360000;1;285;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;243;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPXXHLNKQCDEHMHF00806245";3;2024;26;1;74;0;0;1;0;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;3;98;0;0;0;140;2;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOUUSHKMKQCDEHMHF00869135";3;2024;26;1;74;0;0;1;0;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;4;0;4;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;98;0;0;0;171;1;2;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNORQPHMMKQCDEHMHF00854162";3;2024;26;1;74;1605700;321140;1;319;4;3;2;0;1;2;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;5;0;5;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;4;5;0;0;0;250;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOQRVHKLKSCDEHMHF00869136";3;2024;26;1;74;1400000;466666,67;1;212;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;3;0;0;0;156;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQQXHJLKRCDEHMHF00863317";3;2024;26;1;74;900000;300000;1;171;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;136;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOSRTHKLKUCDEHMHF00869137";3;2024;26;1;74;250000;250000;1;139;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;0;1;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;127;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQSRHMOKOCDEHNHB00811439";3;2024;27;1;70;485000;242500;1;327;3;2;2;0;2;2;2;0;0;0;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;276;1;2;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOQVYHLKLMCDEHMHF00863587";3;2024;26;1;74;800000;266666,67;1;424;4;3;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;1;2;2;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;372;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORQXHMOLMCDEHMHF00811316";3;2024;26;1;74;0;0;1;0;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;97;0;97;0;0;0;148;2;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOPUYHKKMPCDEIIAD00869138";3;2024;32;1;2;215000;107500;1;1720;3;2;2;0;1;2;2;2;0;2;0;4;"";1;"";1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;950;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOSTQHLNKMCDEIIAD00869139";3;2024;32;1;2;0;0;1;0;3;1;2;0;1;2;2;2;0;2;0;2;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;1932;1;1;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOSSYHJOKOCDEIIAD00863566";3;2024;32;1;2;1000000;1000000;1;2531;3;1;2;0;1;2;2;2;0;2;0;2;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;2330;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOQVUHJMKPCDEIIAD00864908";3;2024;32;2;2;915000;305000;1;5864;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;3753;0;2;2;0;2;2;0;2;2;1;2;2;2;2
