anio,fecha,la_rioja_region,exportaciones_millones_usd,indice_2015,share_nacional_pct,total_nacional_millones_usd,provisorio
2009,2009-01-01,3. La Rioja,222.988,96.37431551104906,0.4190433072241523,53213.593,FALSE
2010,2010-01-01,1. Resto país,60633.015999999996,118.28646917899208,92.69059210382396,65414.422999999995,FALSE
2010,2010-01-01,2. NOA-Resto,4506.225,142.73838115009843,6.88873308566828,65414.422999999995,FALSE
2010,2010-01-01,3. La Rioja,275.182,118.93230528531357,0.42067481050776834,65414.422999999995,FALSE
2011,2011-01-01,1. Resto país,73343.268,143.08237956971425,92.70791807391917,79112.194,FALSE
2011,2011-01-01,2. NOA-Resto,5487.42,173.818539351824,6.936250560817464,79112.194,FALSE
2011,2011-01-01,3. La Rioja,281.506,121.66550694321388,0.3558313652633625,79112.194,FALSE
2012,2012-01-01,1. Resto país,70688.671,137.90363493621052,92.69319955469187,76260.903,FALSE
2012,2012-01-01,2. NOA-Resto,5311.471,168.24521014057095,6.964867698983317,76260.903,FALSE
2012,2012-01-01,3. La Rioja,260.761,112.69962010052858,0.34193274632481074,76260.903,FALSE
2013,2013-01-01,1. Resto país,66974.933,130.65865547690322,94.014366364084,71239.041,FALSE
2013,2013-01-01,2. NOA-Resto,3959.0249999999996,125.40537133249411,5.557381099501325,71239.041,FALSE
2013,2013-01-01,3. La Rioja,305.083,131.85537023991148,0.42825253641468874,71239.041,FALSE
2014,2014-01-01,1. Resto país,61029.107,119.0591868987172,93.38860373042662,65349.630000000005,FALSE
2014,2014-01-01,2. NOA-Resto,4048.419,128.23699976749947,6.195014417067089,65349.630000000005,FALSE
2014,2014-01-01,3. La Rioja,272.104,117.60200884271123,0.4163818525062804,65349.630000000005,FALSE
2015,2015-01-01,1. Resto país,51259.469,100,93.79964561446066,54647.827999999994,FALSE
2015,2015-01-01,2. NOA-Resto,3156.982,100,5.776957869213028,54647.827999999994,FALSE
2015,2015-01-01,3. La Rioja,231.377,100,0.4233965163263214,54647.827999999994,FALSE
2016,2016-01-01,1. Resto país,51551.712,100.5701249070684,91.60516722700928,56275.987,FALSE
2016,2016-01-01,2. NOA-Resto,4515.701,143.03854123970297,8.02420577714612,56275.987,FALSE
2016,2016-01-01,3. La Rioja,208.574,90.14465569179305,0.37062699584460423,56275.987,FALSE
2017,2017-01-01,1. Resto país,52311.406337,102.05218149450593,92.70092311081575,56430.297112,FALSE
2017,2017-01-01,2. NOA-Resto,3873.045312,122.6818940367731,6.863414708437519,56430.297112,FALSE
2017,2017-01-01,3. La Rioja,245.845463,106.25319845965674,0.43566218074673313,56430.297112,FALSE
2018,2018-01-01,1. Resto país,55620.603071,108.50795795602174,93.41198336201425,59543.327386,FALSE
2018,2018-01-01,2. NOA-Resto,3698.7651960000003,117.16142809810128,6.211888650464744,59543.327386,FALSE
2018,2018-01-01,3. La Rioja,223.959119,96.79402836064085,0.37612798752099624,59543.327386,FALSE
2019,2019-01-01,1. Resto país,59657.388423000004,116.3831572718789,93.81377854249124,63591.28621600001,FALSE
2019,2019-01-01,2. NOA-Resto,3689.4614070000002,116.86672293348522,5.801834852762746,63591.28621600001,FALSE
2019,2019-01-01,3. La Rioja,244.436386,105.64420231915877,0.38438660474601016,63591.28621600001,FALSE
2020,2020-01-01,1. Resto país,50063.701568,97.6672262601862,93.5445731203704,53518.552597999995,FALSE
2020,2020-01-01,2. NOA-Resto,3281.901954,103.95694223153632,6.132269642364442,53518.552597999995,FALSE
2020,2020-01-01,3. La Rioja,172.949076,74.74773897146216,0.32315723726516316,53518.552597999995,FALSE
2021,2021-01-01,1. Resto país,71445.958362,139.38099585463908,94.17454078539991,75865.470398,FALSE
2021,2021-01-01,2. NOA-Resto,4254.241775,134.756605359169,5.6076127290606665,75865.470398,FALSE
2021,2021-01-01,3. La Rioja,165.270261,71.42899294225441,0.21784648553943048,75865.470398,FALSE
2022,2022-01-01,1. Resto país,82247.056164,160.452415462985,94.1789221466538,87330.64075199999,FALSE
2022,2022-01-01,2. NOA-Resto,4896.377252,155.0967744510422,5.606711699167129,87330.64075199999,FALSE
2022,2022-01-01,3. La Rioja,187.207336,80.910088729649,0.21436615417906765,87330.64075199999,FALSE
2023,2023-01-01,1. Resto país,61333.361943,119.6527454137303,93.417813565831,65654.88915,FALSE
2023,2023-01-01,2. NOA-Resto,4122.3881010000005,130.5800318468715,6.27887451242464,65654.88915,FALSE
2023,2023-01-01,3. La Rioja,199.139106,86.06694096647462,0.30331192174436866,65654.88915,FALSE
2024,2024-01-01,1. Resto país,73822.581087,144.01745185265185,94.48210759394074,78133.92711799999,TRUE
2024,2024-01-01,2. NOA-Resto,4091.532483,129.60265478232057,5.236563211293419,78133.92711799999,TRUE
2024,2024-01-01,3. La Rioja,219.813548,95.00233298901793,0.281329194765843,78133.92711799999,TRUE
2025,2025-01-01,1. Resto país,80305.840141,156.66537657852055,94.10046318010308,85340.536515,TRUE
2025,2025-01-01,2. NOA-Resto,4871.344109,154.30382906839506,5.708124541897837,85340.536515,TRUE
2025,2025-01-01,3. La Rioja,163.352265,70.60004451609278,0.19141227799908211,85340.536515,TRUE
