fecha,la_rioja_region,hogares_NBI_TOT,hogares_NBI_HAC,hogares_NBI_VIV,hogares_NBI_SAN,hogares_NBI_ESC,hogares_NBI_SUB,hogares_base,pct_hogares_NBI_TOT,pct_hogares_NBI_HAC,pct_hogares_NBI_VIV,pct_hogares_NBI_SAN,pct_hogares_NBI_ESC,pct_hogares_NBI_SUB
2016-Q3,1. Resto país,378054,220320,28868,17234,35347,91839,8156280,4.635127778840354,2.7012314437464138,0.3539358629178988,0.2112973071056903,0.4333715860661968,1.1259912607217997
2016-Q3,2. NOA-Resto,44089,25898,6923,4547,1448,7192,654426,6.737048955878892,3.9573611072909696,1.0578736174907475,0.694807357898372,0.22126260264720535,1.0989783413250696
2016-Q3,3. La Rioja,2181,1851,0,0,0,330,56191,3.8814044953818225,3.294121834457475,0,0,0,0.5872826609243473
2016-Q4,1. Resto país,407370,238161,25513,13280,39504,101780,8158845,4.992986139582257,2.919052880646709,0.31270357507710955,0.16276813691153588,0.4841861807645568,1.2474804950945875
2016-Q4,2. NOA-Resto,44999,24336,5470,5276,2252,9247,667082,6.745647461631403,3.6481272167439682,0.8199891467615676,0.7909072647740458,0.3375896816283456,1.3861864058691435
2016-Q4,3. La Rioja,2551,2106,97,0,0,348,56033,4.5526743169203865,3.7584994556779043,0.17311227312476576,0,0,0.6210625881177163
2017-Q1,1. Resto país,367312,237634,34974,17279,15434,72106,8154435,4.504444513936281,2.9141687928102926,0.4288954415603288,0.21189696159206617,0.1892712370630215,0.8842550096971771
2017-Q1,2. NOA-Resto,42242,23386,2810,9617,2138,5777,664853,6.353584927796069,3.5174692751630814,0.4226498188321329,1.4464851628856303,0.3215748443640925,0.8689138802111144
2017-Q1,3. La Rioja,3264,2432,481,0,0,351,56320,5.795454545454545,4.318181818181818,0.8540482954545455,0,0,0.6232244318181818
2017-Q2,1. Resto país,375840,230915,27512,22910,17026,89384,8139328,4.617580222839035,2.837027823427192,0.33801316275741683,0.2814728685218239,0.2091818882345078,1.0981741981647626
2017-Q2,2. NOA-Resto,43354,25295,5026,7518,1451,8202,660669,6.562136258852769,3.8286948532472387,0.7607440336991746,1.137937454307679,0.21962586408625198,1.2414688747315221
2017-Q2,3. La Rioja,2202,2094,0,0,0,108,58579,3.759026272213592,3.574659861042353,0,0,0,0.18436641117123884
2017-Q3,1. Resto país,359360,226107,22815,19360,28021,77950,8225972,4.3686022758161585,2.7486964458425094,0.2773532416594659,0.2353521261681902,0.3406405954214286,0.9476083798972329
2017-Q3,2. NOA-Resto,42635,22869,8997,6260,2736,5439,676343,6.303754160241179,3.381272520008339,1.330242199593993,0.9255658741200841,0.40452847150040727,0.8041777618752615
2017-Q3,3. La Rioja,2698,2156,282,280,121,0,61454,4.390275653334201,3.5083151625606144,0.45887981254271487,0.45562534578709274,0.1968952387151365,0
2017-Q4,1. Resto país,353864,228875,19064,12125,28178,76372,8315737,4.2553534340973025,2.752311671232508,0.22925207952103344,0.14580788209150916,0.33885150528449853,0.9184032635952774
2017-Q4,2. NOA-Resto,39473,21531,6607,3144,1935,7532,688595,5.732397127484226,3.126801675876241,0.959489975965553,0.4565818804957922,0.28100697797689494,1.0938214770656192
2017-Q4,3. La Rioja,3142,1810,541,276,142,512,62161,5.054616238477502,2.911793568314538,0.8703206190376603,0.4440083010247583,0.22843905342578144,0.8236675729154936
2018-Q1,1. Resto país,366287,206426,27419,17401,33848,91801,8324384,4.400169429954216,2.4797750800539715,0.3293817296270811,0.2090364884656931,0.4066126694780058,1.1027963150186249
2018-Q1,2. NOA-Resto,33914,21085,3451,3624,985,5584,685601,4.946608887676652,3.075403915688571,0.5033539916073635,0.5285873270313199,0.14366956874333614,0.8144678902160295
2018-Q1,3. La Rioja,3048,1789,630,0,132,497,61005,4.996311777723138,2.9325465125809362,1.0327022375215147,0,0.21637570690926974,0.814687320711417
2018-Q2,1. Resto país,328616,188395,26322,15407,25339,83217,8347778,3.9365685096081857,2.256828104436893,0.31531744135984446,0.18456408399935886,0.30354185269421396,0.9968760549214414
2018-Q2,2. NOA-Resto,44964,26336,6554,5976,1660,7467,694835,6.471176610274382,3.7902523620715707,0.9432455187202717,0.8600603020861068,0.23890563946836302,1.0746436204278713
2018-Q2,3. La Rioja,2224,1612,380,0,102,130,58776,3.7838573567442495,2.7426160337552745,0.6465223900911937,0,0.17354022049816253,0.2211787123996189
2018-Q3,1. Resto país,336919,199346,41839,10803,20607,82691,8402834,4.0095877176676344,2.3723662754732513,0.4979153461796342,0.1285637678906902,0.24523868970873397,0.9840846552484555
2018-Q3,2. NOA-Resto,47326,25058,10250,6651,2442,6340,686003,6.898803649546722,3.652753705158724,1.4941625619713033,0.969529287772794,0.3559751196423339,0.9241942090632257
2018-Q3,3. La Rioja,2684,1722,274,409,0,552,61094,4.39323010442924,2.81860739188791,0.4484892133433725,0.6694601761220415,0,0.9035257144727797
2018-Q4,1. Resto país,337426,225395,26180,5831,15919,77044,8436444,3.9996235380688834,2.6716825240587148,0.31032031979350544,0.06911679849946258,0.188693245637617,0.9132283696780301
2018-Q4,2. NOA-Resto,42856,23154,9401,4773,2267,5433,692283,6.1905319067491185,3.344585956899129,1.357970656508971,0.6894579239992893,0.32746723522027843,0.7847946576761238
2018-Q4,3. La Rioja,2553,1832,147,437,157,415,64753,3.942674470680895,2.8292125461368585,0.2270165088876191,0.6748722066931262,0.24245980881194693,0.640896946859605
2019-Q1,1. Resto país,367041,212702,27870,12572,34933,86584,8636900,4.2496844932788385,2.462712315761442,0.32268522270722133,0.1455614861813845,0.40446224918662943,1.0024893190843938
2019-Q1,2. NOA-Resto,41046,25609,4767,3079,2019,6863,694640,5.908960036853622,3.6866578371530574,0.6862547506622135,0.44325118046758033,0.2906541517908557,0.9879937809512841
2019-Q1,3. La Rioja,1728,1192,142,39,171,532,64578,2.6758338753135744,1.8458298491746417,0.2198891263278516,0.060392083991452204,0.2647960605779058,0.8238099662423736
2019-Q2,1. Resto país,358983,210443,29307,14131,22695,88611,8701340,4.125605941153891,2.41851255094043,0.33681019245311644,0.16240027398078916,0.26082189639756637,1.0183603904685945
2019-Q2,2. NOA-Resto,46846,29431,6842,3697,916,7438,700768,6.684951367642358,4.199820768071602,0.9763573679163431,0.5275640440202749,0.13071373122060367,1.0614069135576967
2019-Q2,3. La Rioja,1582,1374,0,36,0,333,60589,2.611035006354289,2.2677383683506904,0,0.059416725808315037,0,0.5496047137269141
2019-Q3,1. Resto país,391347,221094,19884,21005,20993,118191,8568536,4.567256296758279,2.5803007654983303,0.23205831194500437,0.2451410602698057,0.24500101300852328,1.37936048818608
2019-Q3,2. NOA-Resto,43496,24860,9313,4038,1095,5070,705892,6.161849121395341,3.5217852022689025,1.319323635910309,0.5720421820901781,0.15512287998730684,0.718240184050818
2019-Q3,3. La Rioja,1098,1098,0,0,0,0,60958,1.8012401981692312,1.8012401981692312,0,0,0,0
2019-Q4,1. Resto país,328706,219391,18115,5967,20091,75717,8721967,3.7687140985513934,2.515384431057811,0.2076939754530142,0.06841346682462798,0.23034941544722654,0.8681183957701285
2019-Q4,2. NOA-Resto,42988,26592,4978,4360,1602,7159,708411,6.068228754211892,3.7537531178934262,0.7026994216634129,0.6154619281744638,0.22613991030630523,1.0105715467433452
2019-Q4,3. La Rioja,1595,1153,0,0,148,294,64735,2.463891248937978,1.781107592492469,0,0,0.22862439175098478,0.45415926469452383
