geocodigo,provincia,anio,rec_prov,rec_nac,rec_total,pct_propios,la_rioja_region
AR-M,Mendoza,2013,6957.9400000000005,9199.6541,16157.5941,0.430629706188745,1. Resto país
AR-N,Misiones,2013,2438.5313500000007,7565.9366,10004.46795,0.2437442312961781,1. Resto país
AR-Q,Neuquén,2013,3854.054022,4005.3597,7859.413721999999,0.4903742388839726,1. Resto país
AR-R,Río Negro,2013,2154.72528,5581.8099,7736.535180000001,0.27851295571824697,1. Resto país
AR-A,Salta,2013,2241.0047400000003,8674.720800000001,10915.725540000001,0.20530057592488718,2. NOA-Resto
AR-J,San Juan,2013,1650.2381500000001,7295.7696,8946.00775,0.18446643420356976,1. Resto país
AR-D,San Luis,2013,1545.86769822,5004.745400000001,6550.613098220001,0.2359882464497955,1. Resto país
AR-Z,Santa Cruz,2013,1963.53382,3564.1013,5527.63512,0.3552213156935004,1. Resto país
AR-S,Santa Fe,2013,11545.97422,19710.501,31256.47522,0.36939463387132365,1. Resto país
AR-G,Santiago del Estero,2013,1137.38686,9114.4189,10251.805760000001,0.11094502633260972,2. NOA-Resto
AR-V,Tierra del Fuego,2013,1316.6654600000002,2740.4728,4057.13826,0.3245305867392353,1. Resto país
AR-T,Tucumán,2013,4451.97832,10503.1775,14955.15582,0.2976885278618247,2. NOA-Resto
AR-B,Buenos Aires,2014,89532.01,57364.969,146896.979,0.6094884361100442,1. Resto país
AR-C,CABA,2014,54441.598880000005,5846.906440000001,60288.505320000004,0.903017890243493,1. Resto país
AR-K,Catamarca,2014,1039.16358,8090.176780000001,9129.34036,0.113826797887071,2. NOA-Resto
AR-H,Chaco,2014,2872.35888417,15227.356039999999,18099.71492417,0.15869636047882218,1. Resto país
AR-U,Chubut,2014,3478.86867,5000.566769999999,8479.43544,0.4102712609366833,1. Resto país
AR-W,Corrientes,2014,1973.0508,11624.852939999999,13597.903739999998,0.14509962989339417,1. Resto país
AR-X,Córdoba,2014,17887.07019,26756.81913,44643.88932,0.40066110866345994,1. Resto país
AR-E,Entre Ríos,2014,6258.85,14756.33681,21015.18681,0.2978250946130895,1. Resto país
AR-P,Formosa,2014,868.3545000000001,10964.546849999999,11832.901349999998,0.07338474937932278,1. Resto país
AR-Y,Jujuy,2014,1358.67,8665.00983,10023.679830000001,0.13554602930688378,2. NOA-Resto
AR-L,La Pampa,2014,1855.7722256300003,5594.57548,7450.347705630001,0.2490853177533781,1. Resto país
AR-F,La Rioja,2014,602.06,6161.02033,6763.080330000001,0.08902156571013255,3. La Rioja
AR-M,Mendoza,2014,9763.42,12671.399449999999,22434.81945,0.4351904869018235,1. Resto país
AR-N,Misiones,2014,4494.035800000001,10422.671550000001,14916.70735,0.30127532132619067,1. Resto país
AR-Q,Neuquén,2014,5943.06852,5502.60538,11445.6739,0.5192414681672872,1. Resto país
AR-R,Río Negro,2014,3297.64384,7677.14926,10974.7931,0.3004743515392559,1. Resto país
AR-A,Salta,2014,3210.76,11960.501330000001,15171.261330000001,0.2116343480057897,2. NOA-Resto
AR-J,San Juan,2014,2050.67451,10044.134390000001,12094.8089,0.16954997197185975,1. Resto país
AR-D,San Luis,2014,2288.3091095,6854.25926,9142.5683695,0.2502917142117194,1. Resto país
AR-Z,Santa Cruz,2014,3043.2161699999997,4875.88126,7919.09743,0.38428825972911407,1. Resto país
AR-S,Santa Fe,2014,15755.40635,27097.1989,42852.60525,0.3676650756257112,1. Resto país
AR-G,Santiago del Estero,2014,1529.6518999999998,12571.59577,14101.24767,0.10847635158229937,2. NOA-Resto
AR-V,Tierra del Fuego,2014,1883.6611299999997,3753.74193,5637.40306,0.33413632304659086,1. Resto país
AR-T,Tucumán,2014,5942.270999999999,14466.90966,20409.180659999998,0.29115676415400005,2. NOA-Resto
AR-B,Buenos Aires,2015,118777.65999999999,77569.06511306998,196346.72511307,0.6049383300465012,1. Resto país
AR-C,CABA,2015,69020.819411,7974.903399999999,76995.722811,0.8964240725478239,1. Resto país
AR-K,Catamarca,2015,1335.290729,11039.273720439998,12374.564449439998,0.1079060789941926,2. NOA-Resto
AR-H,Chaco,2015,3692.7884,20835.438042989997,24528.22644299,0.15055260552910354,1. Resto país
AR-U,Chubut,2015,4792.600157,6809.60333408,11602.20349108,0.41307671949424474,1. Resto país
AR-W,Corrientes,2015,2766.14,15851.461171489997,18617.601171489998,0.1485766063264863,1. Resto país
AR-X,Córdoba,2015,23004.827,36908.39741306999,59913.22441307,0.3839691024037345,1. Resto país
AR-E,Entre Ríos,2015,7708.64292568,20101.842822450006,27810.485748130006,0.2771847638870649,1. Resto país
AR-P,Formosa,2015,1252.62072159,15025.41414126,16278.03486285,0.07695159349048647,1. Resto país
AR-Y,Jujuy,2015,1872.77723396,11786.253040369998,13659.030274329998,0.13710909166660173,2. NOA-Resto
AR-L,La Pampa,2015,2441.12479835,7598.4744272200005,10039.59922557,0.24314962614569954,1. Resto país
AR-F,La Rioja,2015,925.0787965699999,8434.07602664,9359.15482321,0.09884212987650061,3. La Rioja
AR-M,Mendoza,2015,12396.690000000002,17282.573882489996,29679.26388249,0.4176885939315271,1. Resto país
AR-N,Misiones,2015,6122.818609909999,14286.158850530002,20408.97746044,0.30000614297204464,1. Resto país
AR-Q,Neuquén,2015,7790.839763,7506.124616020002,15296.964379020003,0.5093062629919727,1. Resto país
AR-R,Río Negro,2015,4263.71315328,10457.950825520002,14721.663978800003,0.2896216867481814,1. Resto país
AR-A,Salta,2015,4360.75,16499.326235459997,20860.076235459997,0.20904765403432088,2. NOA-Resto
AR-J,San Juan,2015,2610.052520999999,13746.337388990003,16356.389909990003,0.15957387512545515,1. Resto país
AR-D,San Luis,2015,2960.43804368,9479.569144140001,12440.007187820001,0.23797719719796964,1. Resto país
AR-Z,Santa Cruz,2015,3589.1818544199996,6667.997231539999,10257.179085959999,0.3499190005693537,1. Resto país
AR-S,Santa Fe,2015,20792.75858,37458.16561307,58250.92419307,0.35695156545642714,1. Resto país
AR-G,Santiago del Estero,2015,2082.11289738,17221.877676843003,19303.990574223004,0.10785919571263602,2. NOA-Resto
AR-V,Tierra del Fuego,2015,2507.405289,5125.8892383699995,7633.294527369999,0.32848271215127733,1. Resto país
AR-T,Tucumán,2015,7838.954999999999,19756.623865650003,27595.57886565,0.28406561203750114,2. NOA-Resto
AR-B,Buenos Aires,2016,159221.44404861,101168.49171178999,260389.93576039997,0.6114731108314377,1. Resto país
AR-C,CABA,2016,93836.43300506001,27881.846899999993,121718.27990506,0.7709313102210468,1. Resto país
AR-K,Catamarca,2016,1808.2051135199997,14157.641184659995,15965.846298179995,0.11325457352837749,2. NOA-Resto
AR-H,Chaco,2016,5124.590440000001,26652.716481429998,31777.306921429998,0.16126572502417053,1. Resto país
AR-U,Chubut,2016,5437.3261645699995,8706.82294383,14144.1491084,0.3844222881771553,1. Resto país
AR-W,Corrientes,2016,3724.6000000000004,20242.165802299995,23966.765802299997,0.1554068676067492,1. Resto país
AR-X,Córdoba,2016,30885.782945000003,51826.91318551,82712.69613051,0.37341042415382286,1. Resto país
AR-E,Entre Ríos,2016,10400.48,25744.77874661,36145.25874661,0.28774119651240404,1. Resto país
AR-P,Formosa,2016,1559.0068123000003,19232.847211839995,20791.854024139997,0.0749816159006284,1. Resto país
AR-Y,Jujuy,2016,2527.58474742,15076.151117169999,17603.73586459,0.1435822922396972,2. NOA-Resto
AR-L,La Pampa,2016,3830.22207362,9760.058641340005,13590.280714960005,0.28183539059673296,1. Resto país
AR-F,La Rioja,2016,1240.0137843100001,10812.71565156,12052.72943587,0.10288240443028683,3. La Rioja
AR-M,Mendoza,2016,16498.522973,22097.20192057,38595.724893570004,0.42747021900730336,1. Resto país
AR-N,Misiones,2016,7684.390000000001,18229.180197210004,25913.570197210007,0.296539224102256,1. Resto país
AR-Q,Neuquén,2016,11047.021187,9601.28354487,20648.30473187,0.5350086280908706,1. Resto país
AR-R,Río Negro,2016,5914.765695093,13402.589742069998,19317.355437162998,0.30618920453853077,1. Resto país
AR-A,Salta,2016,5961.82332064,21026.84598245,26988.66930309,0.22090097343026158,2. NOA-Resto
AR-J,San Juan,2016,3326.865238,17625.964234509996,20952.829472509995,0.15877880561977703,1. Resto país
AR-D,San Luis,2016,3930.73248398,13650.094601679999,17580.82708566,0.22358063501950634,1. Resto país
AR-Z,Santa Cruz,2016,4703.68595388,8535.296157229997,13238.982111109997,0.35529060424764247,1. Resto país
AR-S,Santa Fe,2016,30056.67825,53864.50668550998,83921.18493550998,0.3581536446738369,1. Resto país
AR-G,Santiago del Estero,2016,2768.496984773,22017.72176427,24786.218749043,0.11169501136109726,2. NOA-Resto
AR-V,Tierra del Fuego,2016,3295.8417681399997,6571.743603270001,9867.585371410001,0.33400691700010593,1. Resto país
AR-T,Tucumán,2016,10688.666000000001,25253.857999360003,35942.523999360004,0.29738217605948664,2. NOA-Resto
AR-B,Buenos Aires,2017,219922.06,137287.17549673,357209.23549672996,0.6156673404431428,1. Resto país
AR-C,CABA,2017,128965.94572381998,38047.9115,167013.85722382,0.7721870979303775,1. Resto país
AR-K,Catamarca,2017,2550.42105192,19081.152146840002,21631.57319876,0.11790270769886488,2. NOA-Resto
AR-H,Chaco,2017,7199.06029,35873.90384316001,43072.964133160014,0.16713640295903748,1. Resto país
AR-U,Chubut,2017,7419.855707930001,11702.893610029998,19122.74931796,0.3880119738306304,1. Resto país
AR-W,Corrientes,2017,4983.389999999999,27236.52431531,32219.914315309998,0.15466800908381165,1. Resto país
AR-X,Córdoba,2017,42690.49583445944,67999.11722300999,110689.61305746943,0.38567752343930206,1. Resto país
AR-E,Entre Ríos,2017,14545.620000000003,34551.072245790005,49096.69224579001,0.29626476519397854,1. Resto país
AR-P,Formosa,2017,2230.9923390099993,25917.801996630005,28148.794335640006,0.0792571188807641,1. Resto país
AR-Y,Jujuy,2017,3685.1806431800005,20296.580879009995,23981.761522189994,0.1536659698567244,2. NOA-Resto
AR-L,La Pampa,2017,5365.10336388,13058.0879052,18423.19126908,0.2912146590414201,1. Resto país
AR-F,La Rioja,2017,1613.8304322,14563.19546668,16177.02589888,0.09976063846888765,3. La Rioja
AR-M,Mendoza,2017,22336.309999999998,29755.69446891,52092.004468909996,0.42878576525752526,1. Resto país
AR-N,Misiones,2017,9921.720000000001,24523.88163283,34445.60163283,0.2880402585433038,1. Resto país
AR-Q,Neuquén,2017,13426.22325805,12942.103736579998,26368.32699463,0.5091799438312601,1. Resto país
AR-R,Río Negro,2017,7826.29541849,18086.254508399994,25912.549926889995,0.30202722003705584,1. Resto país
AR-A,Salta,2017,8081.68328414,28235.553519759993,36317.23680389999,0.22253023620101334,2. NOA-Resto
AR-J,San Juan,2017,4535.1268549999995,23764.195143160003,28299.32199816,0.1602556716834018,1. Resto país
AR-D,San Luis,2017,5464.473927769999,17592.449993529997,23056.923921299996,0.23699926089108164,1. Resto país
AR-Z,Santa Cruz,2017,6109.942477584,11472.254932379996,17582.197409963996,0.34750733000651207,1. Resto país
AR-S,Santa Fe,2017,39452.26292747946,70136.47892301003,109588.74185048949,0.3600028822422624,1. Resto país
AR-G,Santiago del Estero,2017,3931.92,29642.895112720005,33574.81511272,0.11710920780351135,2. NOA-Resto
AR-V,Tierra del Fuego,2017,4153.0599999999995,8865.25773049,13018.31773049,0.3190166414722835,1. Resto país
AR-T,Tucumán,2017,14310.86991195118,33992.423687140006,48303.29359909119,0.2962710996630763,2. NOA-Resto
AR-B,Buenos Aires,2018,276461.39876714995,215057.65036374002,491519.04913088994,0.5624632438071168,1. Resto país
