jurisdiccion,fecha,salario_promedio,ipc_nacional,ipc_regional,ipc_region,salario_real_nac,salario_real_reg,salario_real_nac_ma12,salario_real_reg_ma12
Catamarca,2019-10-01,36953.582348028336,262.0661,265.2024,NOA,14100.86323566014,13934.105554108233,15200.847340187956,15069.947016218759
Chaco,2019-10-01,36460.0268500908,262.0661,262.608,NEA,13912.530789022618,13883.821837145402,15134.683178320418,15232.59802476126
Chubut,2019-10-01,82297.25654529175,262.0661,262.9941,Patagonia,31403.243893541265,31292.434524307482,33704.53474596819,33528.184657672005
Corrientes,2019-10-01,36525.00580028736,262.0661,262.608,NEA,13937.325659552062,13908.565542667153,14993.425919010519,15089.498452015683
Córdoba,2019-10-01,43372.67715507527,262.0661,262.6467,Pampeana,16550.28145764571,16513.69583363327,17911.86616733011,17904.676669878387
Entre Ríos,2019-10-01,38177.625637016645,262.0661,262.6467,Pampeana,14567.937492493933,14535.733986764975,16319.241444704487,16313.05394686137
Formosa,2019-10-01,38806.04170533771,262.0661,262.608,NEA,14807.730456300036,14777.174231302059,16169.441812135528,16274.455525899846
Jujuy,2019-10-01,40589.83816868208,262.0661,265.2024,NOA,15488.397075654606,15305.230333014362,16175.354939788158,16031.84983341879
La Pampa,2019-10-01,45861.97330210182,262.0661,262.6467,Pampeana,17500.15484723198,17461.46945767901,18701.77538201328,18694.39245079898
La Rioja,2019-10-01,38531.7233083257,262.0661,265.2024,NOA,14703.055186582966,14529.175945740199,14964.95052848162,14834.750815578205
Mendoza,2019-10-01,40635.60927702392,262.0661,269.1257,Cuyo,15505.862557966833,15099.118841873487,16483.214819401517,16178.94810054487
Misiones,2019-10-01,34657.818253148434,262.0661,262.608,NEA,13224.838410289783,13197.54853361224,13886.687414378592,13977.62783185912
Neuquén,2019-10-01,81061.17465147607,262.0661,262.9941,Patagonia,30931.575908320865,30822.43086497989,33440.33245490402,33266.43514185889
Río Negro,2019-10-01,50706.01585184971,262.0661,262.9941,Patagonia,19348.559715220592,19280.286459601077,20026.383772103592,19922.388958326643
Salta,2019-10-01,39155.73314334756,262.0661,265.2024,NOA,14941.166806140725,14764.471642544546,15888.601144377217,15748.091248374834
San Juan,2019-10-01,40909.737773534966,262.0661,269.1257,Cuyo,15610.465364858317,15200.977748886475,16628.26141420946,16321.069783420946
San Luis,2019-10-01,47723.85522597516,262.0661,269.1257,Cuyo,18210.61756021674,17732.923769812827,18998.975798962878,18647.953291740654
Santa Cruz,2019-10-01,102833.43664783084,262.0661,262.9941,Patagonia,39239.50356334941,39101.04319748269,39682.90778105874,39476.04844061607
Santa Fe,2019-10-01,46933.93417207169,262.0661,262.6467,Pampeana,17909.197020168456,17869.607412570458,19137.903107023973,19130.314732618455
Santiago del Estero,2019-10-01,32792.344296578056,262.0661,265.2024,NOA,12513.005038262505,12365.025466050854,13461.69519084556,13344.155822679168
Tierra del Fuego,2019-10-01,69360.27543819591,262.0661,262.9941,Patagonia,26466.710283472723,26373.319948316675,29873.579235964007,29714.1594269246
Tucumán,2019-10-01,36263.373942937935,262.0661,265.2024,NOA,13837.491359217363,13673.848329780549,14744.045409726257,14620.122029448346
Buenos Aires,2019-11-01,49908.24020382342,273.2158,270.8019,GBA,18266.967065529672,18429.796911994865,20288.207729371305,20370.189316311582
C.A.B.A.,2019-11-01,60723.66310296244,273.2158,270.8019,GBA,22225.531284414166,22423.647361027543,24770.77340532435,24869.88851526022
Catamarca,2019-11-01,37751.33620845113,273.2158,275.4348,NOA,13817.40595106547,13706.088050039838,15144.102667713383,15003.987052685365
Chaco,2019-11-01,37639.318231766025,273.2158,273.8915,NEA,13776.406134552257,13742.419254254339,15056.558776643327,15129.328743593343
Chubut,2019-11-01,83592.0828585771,273.2158,274.9526,Patagonia,30595.62545745052,30402.361301030465,33679.57106616662,33508.596419997055
Corrientes,2019-11-01,37375.81509723512,273.2158,273.8915,NEA,13679.961077373682,13646.212130436732,14951.973891575402,15023.734959629106
Córdoba,2019-11-01,43459.094925695535,273.2158,274.4483,Pampeana,15906.508673984277,15835.07528583545,17817.069141407534,17809.530242885696
Entre Ríos,2019-11-01,38947.540254221814,273.2158,274.4483,Pampeana,14255.229841839971,14191.212062243349,16265.853886351606,16259.228718619252
Formosa,2019-11-01,41047.13996582985,273.2158,273.8915,NEA,15023.70652276693,14986.642508376437,16111.01034692234,16189.089662279373
Jujuy,2019-11-01,40933.955280355614,273.2158,275.4348,NOA,14982.279677952598,14861.57714288667,16171.438752725911,16017.938543641469
La Pampa,2019-11-01,46037.07402655672,273.2158,274.4483,Pampeana,16850.077494257916,16774.406701209926,18629.943428906838,18622.077586161176
La Rioja,2019-11-01,38917.72702293346,273.2158,275.4348,NOA,14244.31786995242,14129.560615773118,14894.155737579596,14754.456634647455
Mendoza,2019-11-01,41744.70094285448,273.2158,281.2769,Cuyo,15279.021543722754,14841.140862564424,16456.14279772336,16140.240933464755
Misiones,2019-11-01,35191.72884803811,273.2158,273.8915,NEA,12880.561390680228,12848.784590992458,13811.789772305126,13879.186690031716
Neuquén,2019-11-01,82776.18007593993,273.2158,274.9526,Patagonia,30296.996028758196,30105.618232357112,33375.82517996378,33207.58280098643
Río Negro,2019-11-01,49294.21773818467,273.2158,274.9526,Patagonia,18042.228062280687,17928.260266745856,19950.307420304598,19849.994411330124
Salta,2019-11-01,39995.89045289999,273.2158,275.4348,NOA,14638.937591786416,14521.001141794715,15874.046751383103,15723.771349307142
San Juan,2019-11-01,41679.64211772174,273.2158,281.2769,Cuyo,15255.209295261015,14818.01104808882,16580.031783011906,16261.62836162129
San Luis,2019-11-01,46074.57395956691,273.2158,281.2769,Cuyo,16863.8028838621,16380.504036971008,18927.5658987229,18564.49523651431
Santa Cruz,2019-11-01,93651.99029796198,273.2158,274.9526,Patagonia,34277.66267469231,34061.140101225436,39443.60847905137,39244.53470157392
Santa Fe,2019-11-01,46775.505261192586,273.2158,274.4483,Pampeana,17120.351480841367,17043.466933915268,19065.538006897674,19057.45653295199
Santiago del Estero,2019-11-01,33524.3068217083,273.2158,275.4348,NOA,12270.266515226534,12171.41291576384,13412.050080206356,13286.32722233615
Tierra del Fuego,2019-11-01,72002.82349603769,273.2158,274.9526,Patagonia,26353.82854726472,26187.358656014778,29668.34170719065,29515.085050047797
Tucumán,2019-11-01,37683.70346576385,273.2158,275.4348,NOA,13792.651620354258,13681.533148957158,14694.640178144233,14561.517649672982
Buenos Aires,2019-12-01,73711.02392654814,283.4442,281.1775,GBA,26005.47971224958,26215.121738598617,20201.24245951816,20296.808280386947
C.A.B.A.,2019-12-01,89397.71344349912,283.4442,281.1775,GBA,31539.792821126382,31794.049468218156,24668.29073612213,24783.886140797553
