fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2021-Q3,2. NOA-Resto,182306,141190,8371,3182,11430,25910,2534819,7.192071702160982,5.570022948384086,0.3302405418296139,0.12553164545476422,0.4509197698139394,1.022163712675343
2021-Q3,3. La Rioja,6811,5831,980,0,0,0,226249,3.010400045967054,2.577248960216399,0.4331510857506552,0,0,0
2021-Q4,1. Resto país,1515330,1265779,44799,20879,108632,140058,26238762,5.775158141988559,4.824080495870956,0.17073595164284047,0.07957311400591233,0.4140134355424238,0.5337828057588997
2021-Q4,2. NOA-Resto,197391,155107,10406,12576,19064,22074,2540458,7.76989818371333,6.105473894864627,0.409611180346221,0.49502884912877915,0.7504158698943262,0.8688984427217454
2021-Q4,3. La Rioja,6767,5578,1056,0,0,133,227148,2.9791149382781272,2.455667670417525,0.46489513444978603,0,0,0.05855213341081585
2022-Q1,1. Resto país,1633047,1235088,72513,35788,109944,218228,26299032,6.2095327310906345,4.696324944583512,0.27572497725391565,0.13608105423804193,0.41805340972245675,0.8297948000519563
2022-Q1,2. NOA-Resto,216422,165359,11548,9709,19763,33231,2546124,8.500057342061895,6.494538364981437,0.45355214435746255,0.38132471160084896,0.7761994309782242,1.3051603142659196
2022-Q1,3. La Rioja,8956,5316,346,0,0,3994,228059,3.9270539641057796,2.3309757562735958,0.1517151263488834,0,0,1.751301198374105
2022-Q2,1. Resto país,1265200,938454,90930,34563,79292,172892,26356827,4.80027432740671,3.5605727502783244,0.3449960042610592,0.1311349048199163,0.30084046156238764,0.6559666685219735
2022-Q2,2. NOA-Resto,144541,118442,7716,2643,1550,14838,2551496,5.664951071841775,4.642060971289,0.30241082094582944,0.10358628820111809,0.06074867450311503,0.581541182114336
2022-Q2,3. La Rioja,11560,9939,475,1146,0,0,228889,5.050482985202434,4.342279445495415,0.2075241711047713,0.5006793686022483,0,0
2022-Q3,1. Resto país,1339423,1075319,66605,37281,48133,159006,26416766,5.070351912115208,4.070592895436179,0.25213154403532967,0.14112628320968587,0.18220625492159032,0.6019131940677371
2022-Q3,2. NOA-Resto,151083,103447,8448,14224,3946,23942,2557179,5.908190236193868,4.045356230439872,0.3303640456925385,0.5562379481452021,0.15431066812295893,0.9362660963507052
2022-Q3,3. La Rioja,12506,10087,852,957,0,610,229865,5.440584691014291,4.3882278728819095,0.3706523394166141,0.41633132490809827,0,0.26537315380766974
2022-Q4,1. Resto país,1372927,1096826,49848,49772,124213,159354,26475909,5.185570776814499,4.142732172104082,0.18827682177031202,0.1879897683588503,0.4691548078670311,0.6018830175009289
