fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2017-Q3,1. Resto país,1652158,1254211,60726,60610,128396,233863,24919273,6.630040932574557,5.033096270505163,0.24369089740298605,0.24322539425608447,0.5152477762894607,0.9384824348607601
2017-Q3,2. NOA-Resto,187355,124863,17350,28316,15705,18792,2433104,7.700246269785427,5.131839822712058,0.7130809040632871,1.1637809152424228,0.6454717924100244,0.7723467636401897
2017-Q3,3. La Rioja,12784,11480,282,1122,605,0,205762,6.213003372828802,5.579261476851896,0.13705154498887065,0.5452901896365704,0.29402902382364093,0
2017-Q4,1. Resto país,1676205,1333269,49016,38240,131396,176546,24982973,6.709389631089943,5.336710726941905,0.19619762627930631,0.15306424899870805,0.5259422087195147,0.706665295599527
2017-Q4,2. NOA-Resto,172914,118523,10987,14191,9687,27849,2438835,7.090024540405563,4.8598203650513465,0.45050198147886183,0.5818761826855855,0.3971978424124633,1.1418976683539477
2017-Q4,3. La Rioja,13938,10094,541,1106,426,2466,206692,6.743366942116773,4.883594914171812,0.2617421090317961,0.5350956979467033,0.2061037679252221,1.1930795579896658
2018-Q1,1. Resto país,1650042,1216597,65955,54601,157239,217313,25047647,6.587612800515753,4.857130891376743,0.2633181472095962,0.21798854000138215,0.6277595655991159,0.8675984614443025
2018-Q1,2. NOA-Resto,157336,124263,6119,12237,5377,13177,2444581,6.4361131825863005,5.083202397466069,0.25030874411606735,0.5005765814264285,0.2199558942820876,0.5390289787902303
2018-Q1,3. La Rioja,13860,11489,734,0,396,1241,207754,6.671351694792881,5.530098096787547,0.3533024634904743,0,0.19061004842265372,0.5973410860922052
2018-Q2,1. Resto país,1413799,1046291,68578,46848,110170,203851,25109796,5.630467885919901,4.166863800884722,0.27311253345108816,0.18657260297933126,0.4387530667314063,0.8118385350482338
2018-Q2,2. NOA-Resto,209230,150963,14810,26234,7537,26921,2450134,8.539532939831046,6.161418110193156,0.6044567358356727,1.0707169485424062,0.3076158283587755,1.0987562312918395
2018-Q2,3. La Rioja,11830,10884,380,0,306,260,208533,5.6729630322299105,5.219317805814907,0.18222535521955757,0,0.1467393649925911,0.12468050620285519
2018-Q3,1. Resto país,1538478,1143982,104829,34625,118829,267419,25176061,6.110876518769159,4.543927662075493,0.41638364317595195,0.1375314430641076,0.4719920244870713,1.0621955515598727
2018-Q3,2. NOA-Resto,220826,144290,22596,31215,11819,29295,2456164,8.990686289677726,5.874607721634223,0.9199711419921472,1.2708841917722107,0.4811975096125503,1.1927135158727187
2018-Q3,3. La Rioja,12080,9448,274,1500,0,1950,209291,5.771867877739607,4.514288717622832,0.13091819524012022,0.7167054483948188,0,0.9317170829132643
2018-Q4,1. Resto país,1540520,1223261,57217,18575,83143,233320,25241988,6.103005832979558,4.846135732256904,0.22667390539921023,0.07358770632487426,0.3293837236591666,0.9243329011962133
2018-Q4,2. NOA-Resto,197448,134004,20108,22028,13635,20682,2462008,8.01979522406101,5.442874271732667,0.8167317084266176,0.8947168327641503,0.553816234553259,0.8400460112233591
