tipo,serie,ANO4,TRIMESTRE,rama,empleados_publicos,empleados_publicos_tot,share,n_obs
agregado,3. La Rioja,2025,3,Adm. pública y defensa,35325,73064,0.48348023650498195,242
agregado,3. La Rioja,2025,3,Enseñanza,16904,73064,0.23135880871564657,140
agregado,3. La Rioja,2025,3,Salud y asistencia social,7803,73064,0.10679678090441257,49
agregado,3. La Rioja,2025,3,"Electricidad, gas y agua",532,73064,0.007281287638234972,5
agregado,3. La Rioja,2025,3,Transporte,404,73064,0.005529398883170919,2
agregado,3. La Rioja,2025,3,Finanzas y seguros,138,73064,0.0018887550640534327,2
agregado,3. La Rioja,2025,3,Construcción,2139,73064,0.029275703492828205,11
agregado,3. La Rioja,2025,3,Servicios de seguridad / edificios,3173,73064,0.043427679842330015,21
agregado,3. La Rioja,2025,3,Otros,5429,73064,0.07430471915033396,35
agregado,3. La Rioja,2025,3,Sin clasificar / NsNr,1217,73064,0.016656629804007447,8
