fecha,la_rioja_region,salario_nominal,salario_sa,salario_real_sa,ipc_nacional,indice_salario_real_sa,indice_salario_sa,indice_ipc,fecha_base
2020-02-01,1. Resto país,61100.80531684164,64211.9358076971,21717.72737064698,295.666,101.06765517869151,3.799820917926452,3.759680494425464,2025-01-01
2020-02-01,2. NOA-Resto,42560.761653236696,45982.5780749023,15552.20352522857,295.666,99.1669672977285,3.728361126405978,3.759680494425464,2025-01-01
2020-02-01,3. La Rioja,35714.26610067312,43642.4638113959,14760.731302008313,295.666,100.6205421607184,3.783010897001681,3.759680494425464,2025-01-01
2020-03-01,1. Resto país,60981.4148019933,63865.3491898717,20901.664429685898,305.5515,97.26994805613882,3.779311225083203,3.8853842328588413,2025-01-01
2020-03-01,2. NOA-Resto,43264.018882136625,45345.6304403318,14840.585119147445,305.5515,94.62940841806027,3.676716114322911,3.8853842328588413,2025-01-01
2020-03-01,3. La Rioja,36460.763045541375,43754.2671024982,14319.768386834363,305.5515,97.61459843816472,3.7927022166849245,3.8853842328588413,2025-01-01
2020-04-01,1. Resto país,56948.24975213191,61796.532780025,19926.375579090385,310.1243,92.73125229072306,3.656886448900974,3.9435318283378917,2025-01-01
2020-04-01,2. NOA-Resto,41456.56928094942,44477.7015416069,14341.895021321096,310.1243,91.44956418938723,3.606342670684776,3.9435318283378917,2025-01-01
2020-04-01,3. La Rioja,39604.19591486511,44387.9990021816,14312.970316154391,310.1243,97.56825753923022,3.8476352904142286,3.9435318283378917,2025-01-01
2020-05-01,1. Resto país,57138.6719515018,61729.368527791,19602.306486861427,314.9087,91.22313393614164,3.6529119209979375,4.0043701234327935,2025-01-01
2020-05-01,2. NOA-Resto,42871.861725364324,46415.6549271727,14739.400634905513,314.9087,93.98421634456534,3.7634758800442154,4.0043701234327935,2025-01-01
2020-05-01,3. La Rioja,40284.377665849446,45038.5062555952,14302.083827977825,314.9087,97.49404682973757,3.904022483375587,4.0043701234327935,2025-01-01
2020-06-01,1. Resto país,84654.19661861178,64609.0186123849,20066.54535629449,321.9738,93.38355952652,3.8233187852376065,4.094209735228418,2025-01-01
2020-06-01,2. NOA-Resto,62931.38728349751,48297.1293717866,15000.329024220793,321.9738,95.64799839373302,3.9160296617873382,4.094209735228418,2025-01-01
2020-06-01,3. La Rioja,61631.28291240536,47043.5975392631,14611.00174587594,321.9738,99.59986989135237,4.077827569366586,4.094209735228418,2025-01-01
2020-07-01,1. Resto país,60758.06282558394,65453.2100362779,19943.001472960783,328.2014,92.80862411145057,3.873274859461088,4.17339972070894,2025-01-01
2020-07-01,2. NOA-Resto,45181.13187011397,49027.1825284291,14938.139364557586,328.2014,95.25145266077152,3.975223859315847,4.17339972070894,2025-01-01
