jurisdiccion,fecha,salario_promedio
Santa Cruz,2021-08-01,188719.69829547967
Santa Fe,2021-08-01,90656.29006607302
Santiago del Estero,2021-08-01,62387.52194097734
Tierra del Fuego,2021-08-01,125856.80135284891
Tucumán,2021-08-01,66373.94876752465
Buenos Aires,2021-09-01,99563.40456453909
C.A.B.A.,2021-09-01,119538.40454339488
Catamarca,2021-09-01,73468.78007557218
Chaco,2021-09-01,71780.2525905853
Chubut,2021-09-01,153377.7350870712
Corrientes,2021-09-01,70916.81645649225
Córdoba,2021-09-01,84127.23071582745
Entre Ríos,2021-09-01,77394.30393338432
Formosa,2021-09-01,75584.90334034519
Jujuy,2021-09-01,80988.83135784765
La Pampa,2021-09-01,86464.34533598059
La Rioja,2021-09-01,73700.08788465968
Mendoza,2021-09-01,78722.41340561652
Misiones,2021-09-01,67975.33762052614
Neuquén,2021-09-01,150172.50048603598
Río Negro,2021-09-01,95762.04624258177
Salta,2021-09-01,78375.05119174553
San Juan,2021-09-01,80812.94167367223
San Luis,2021-09-01,92352.45582931692
Santa Cruz,2021-09-01,185848.5387377536
Santa Fe,2021-09-01,93497.83258049411
Santiago del Estero,2021-09-01,64438.031551661756
Tierra del Fuego,2021-09-01,128986.08395040287
Tucumán,2021-09-01,68923.73255488326
Buenos Aires,2021-10-01,104138.32555674671
C.A.B.A.,2021-10-01,125092.58333730027
Catamarca,2021-10-01,77201.4994638997
Chaco,2021-10-01,75251.42401149061
Chubut,2021-10-01,157477.6405707888
Corrientes,2021-10-01,74946.28294133363
Córdoba,2021-10-01,88298.21153766684
Entre Ríos,2021-10-01,81055.78879356426
Formosa,2021-10-01,79328.2731174238
Jujuy,2021-10-01,84649.04217758909
La Pampa,2021-10-01,89852.11070001396
La Rioja,2021-10-01,78132.88666855541
Mendoza,2021-10-01,81833.36585978832
Misiones,2021-10-01,71696.08360508323
Neuquén,2021-10-01,152428.24715184135
Río Negro,2021-10-01,98508.75723312258
Salta,2021-10-01,80810.26473530177
San Juan,2021-10-01,85724.27219494231
