jurisdiccion,fecha,puestos_miles
Tucumán,2011-06-01,156.707
Buenos Aires,2011-07-01,1875.135
C.A.B.A.,2011-07-01,1529.513
Catamarca,2011-07-01,31.26
Chaco,2011-07-01,66.123
Chubut,2011-07-01,95.034
Corrientes,2011-07-01,70.034
Córdoba,2011-07-01,496.927
Entre Ríos,2011-07-01,133.312
Formosa,2011-07-01,26.169
Jujuy,2011-07-01,54.515
La Pampa,2011-07-01,36.599
La Rioja,2011-07-01,30.511
Mendoza,2011-07-01,240.494
Misiones,2011-07-01,95.02
Neuquén,2011-07-01,89.892
Río Negro,2011-07-01,100.105
Salta,2011-07-01,111.269
San Juan,2011-07-01,83.082
San Luis,2011-07-01,55.101
Santa Cruz,2011-07-01,58.239
Santa Fe,2011-07-01,487.209
Santiago del Estero,2011-07-01,47.886
Tierra del Fuego,2011-07-01,34.775
Tucumán,2011-07-01,156.467
Buenos Aires,2011-08-01,1879.8
C.A.B.A.,2011-08-01,1533.752
Catamarca,2011-08-01,30.89
Chaco,2011-08-01,66.054
Chubut,2011-08-01,95.004
Corrientes,2011-08-01,70.674
Córdoba,2011-08-01,497.722
Entre Ríos,2011-08-01,134.291
Formosa,2011-08-01,26.496
Jujuy,2011-08-01,54.879
La Pampa,2011-08-01,36.695
La Rioja,2011-08-01,30.444
Mendoza,2011-08-01,241.544
Misiones,2011-08-01,95.417
Neuquén,2011-08-01,90.185
Río Negro,2011-08-01,99.994
Salta,2011-08-01,111.919
San Juan,2011-08-01,83.762
San Luis,2011-08-01,55.506
Santa Cruz,2011-08-01,58.211
Santa Fe,2011-08-01,489.194
Santiago del Estero,2011-08-01,48.098
Tierra del Fuego,2011-08-01,35.118
Tucumán,2011-08-01,158.947
Buenos Aires,2011-09-01,1890.919
C.A.B.A.,2011-09-01,1533.91
Catamarca,2011-09-01,30.821
Chaco,2011-09-01,65.685
Chubut,2011-09-01,94.774
Corrientes,2011-09-01,70.706
Córdoba,2011-09-01,499.441
Entre Ríos,2011-09-01,134.133
Formosa,2011-09-01,26.384
Jujuy,2011-09-01,54.998
La Pampa,2011-09-01,36.74
La Rioja,2011-09-01,30.158
Mendoza,2011-09-01,241.466
Misiones,2011-09-01,96.053
Neuquén,2011-09-01,90.47
Río Negro,2011-09-01,100.612
Salta,2011-09-01,111.216
San Juan,2011-09-01,84.219
San Luis,2011-09-01,55.462
Santa Cruz,2011-09-01,59.009
Santa Fe,2011-09-01,490.198
Santiago del Estero,2011-09-01,47.878
Tierra del Fuego,2011-09-01,35.282
Tucumán,2011-09-01,158.647
Buenos Aires,2011-10-01,1893.079
C.A.B.A.,2011-10-01,1534.309
Catamarca,2011-10-01,30.985
Chaco,2011-10-01,66.723
Chubut,2011-10-01,94.432
