fecha,ANO4,TRIMESTRE,provincia,empleados_publicos,pob_tot,n_obs_publicos,empleados_publicos_cada_1000
2024-Q3,2024,3,La Pampa,36364,321515,240,113.10203256457709
2024-Q3,2024,3,La Rioja,74983,364082,541,205.9508572244714
2024-Q3,2024,3,Mendoza,131264,1693347,223,77.5174846029786
2024-Q3,2024,3,Misiones,87679,1021740,237,85.81341632900738
2024-Q3,2024,3,Neuquén,77425,622022,343,124.47308937626
2024-Q3,2024,3,Río Negro,78484,692370,283,113.35557577595794
2024-Q3,2024,3,Salta,91062,1332132,265,68.35809063966634
2024-Q3,2024,3,San Juan,57286,711236,250,80.54429190873353
2024-Q3,2024,3,San Luis,59532,466276,350,127.6754540229392
2024-Q3,2024,3,Santa Cruz,73354,390362,290,187.91275790164002
2024-Q3,2024,3,Santa Fe,239541,3349654,339,71.51216215167298
2024-Q3,2024,3,Santiago del Estero,70596,743800,267,94.91261091691315
2024-Q3,2024,3,Tierra del Fuego,22551,178993,138,125.98816713502762
2024-Q3,2024,3,Tucumán,127843,1424962,340,89.71677841233661
2025-Q3,2025,3,Buenos Aires,1086782,17770968,748,61.15491288938228
2025-Q3,2025,3,C.A.B.A.,265828,3005704,125,88.44117717513102
2025-Q3,2025,3,Catamarca,57882,346334,478,167.1276859909798
2025-Q3,2025,3,Chaco,93560,1066805,196,87.70112626018813
2025-Q3,2025,3,Chubut,59925,616040,245,97.2745276280761
2025-Q3,2025,3,Corrientes,82690,987424,171,83.7431539034903
2025-Q3,2025,3,Córdoba,197443,3562318,262,55.42542804993827
2025-Q3,2025,3,Entre Ríos,107068,1280578,361,83.60912025663411
2025-Q3,2025,3,Formosa,43947,520089,183,84.49899920975064
2025-Q3,2025,3,Jujuy,74194,714400,369,103.85498320268756
2025-Q3,2025,3,La Pampa,37351,324774,245,115.0061273377795
2025-Q3,2025,3,La Rioja,73064,368904,515,198.05694706481904
2025-Q3,2025,3,Mendoza,143382,1710861,217,83.80692528498808
2025-Q3,2025,3,Misiones,87642,1035837,212,84.60983726204026
2025-Q3,2025,3,Neuquén,79224,628496,322,126.05330821516763
2025-Q3,2025,3,Río Negro,74598,706080,245,105.65091774303195
2025-Q3,2025,3,Salta,84162,1349336,246,62.37290044881334
2025-Q3,2025,3,San Juan,50828,718550,179,70.73690070280426
2025-Q3,2025,3,San Luis,58036,471670,295,123.04365340174274
2025-Q3,2025,3,Santa Cruz,55851,399513,245,139.79770370425993
2025-Q3,2025,3,Santa Fe,220701,3375915,305,65.37516495527879
2025-Q3,2025,3,Santiago del Estero,58806,753712,219,78.02184388732036
2025-Q3,2025,3,Tierra del Fuego,27000,182108,152,148.26366771366443
2025-Q3,2025,3,Tucumán,96072,1440954,261,66.67249613797526
