anio,la_rioja_region,letra,letra_desc,tipo_sector,vab_millones_2004,vab_total,share
2008,1. Resto país,A,Agro,Bienes,43541.852988573584,503091.9653857833,0.08654849606907282
2008,1. Resto país,B,Pesca,Bienes,2016.6714410300533,503091.9653857833,0.004008554260022062
2008,1. Resto país,C,Petróleo y minería,Bienes,22015.37353470655,503091.9653857833,0.04376013740912085
2008,1. Resto país,D,Industria manufacturera,Bienes,114055.64699831685,503091.9653857833,0.22670933913813585
2008,1. Resto país,E,"Electricidad, gas y agua",Bienes,9774.689499301046,503091.9653857833,0.019429229985427364
2008,1. Resto país,F,Construcción,Bienes,19848.76364716958,503091.9653857833,0.03945354927691811
2008,1. Resto país,G,Comercio,Servicios,78712.45015308497,503091.9653857833,0.15645737870754173
2008,1. Resto país,H,Hotelería y restaurantes,Servicios,8949.652225054908,503091.9653857833,0.01778929667102136
2008,1. Resto país,I,Transporte y comunicaciones,Servicios,42746.68056188644,503091.9653857833,0.08496792535557039
2008,1. Resto país,J,Finanzas,Servicios,21688.754463763515,503091.9653857833,0.04311091401973006
2008,1. Resto país,K,Serv. inmobiliarios y profesionales,Servicios,62699.710468499834,503091.9653857833,0.1246287255261971
2008,1. Resto país,L,Adm. pública y defensa,Servicios,23337.734335927875,503091.9653857833,0.046388604751483015
2008,1. Resto país,M,Enseñanza,Servicios,18716.09660969489,503091.9653857833,0.037202137774835914
2008,1. Resto país,N,Salud,Servicios,15395.128560670702,503091.9653857833,0.03060102251655985
2008,1. Resto país,O,"Serv. comunitarios, sociales y personales",Servicios,16021.76870411011,503091.9653857833,0.03184660023704458
2008,1. Resto país,P,Servicio doméstico,Servicios,3570.9911939923472,503091.9653857833,0.0070980883013188716
2008,2. NOA-Resto,A,Agro,Bienes,5209.016684471024,36542.43597756536,0.14254705645975588
2008,2. NOA-Resto,B,Pesca,Bienes,0,36542.43597756536,0
2008,2. NOA-Resto,C,Petróleo y minería,Bienes,2626.476433226053,36542.43597756536,0.07187469480246297
2008,2. NOA-Resto,D,Industria manufacturera,Bienes,5071.535746878533,36542.43597756536,0.13878482950595086
2008,2. NOA-Resto,E,"Electricidad, gas y agua",Bienes,695.4628109537351,36542.43597756536,0.01903164888571477
2008,2. NOA-Resto,F,Construcción,Bienes,1735.4187371673834,36542.43597756536,0.04749050496340244
2008,2. NOA-Resto,G,Comercio,Servicios,6844.177886004046,36542.43597756536,0.18729396940603302
2008,2. NOA-Resto,H,Hotelería y restaurantes,Servicios,611.5617123681685,36542.43597756536,0.016735658037237228
2008,2. NOA-Resto,I,Transporte y comunicaciones,Servicios,2866.105558440896,36542.43597756536,0.07843225230525123
2008,2. NOA-Resto,J,Finanzas,Servicios,905.8183923426514,36542.43597756536,0.024788122852531343
2008,2. NOA-Resto,K,Serv. inmobiliarios y profesionales,Servicios,3620.5078823868553,36542.43597756536,0.0990768071567426
2008,2. NOA-Resto,L,Adm. pública y defensa,Servicios,2108.274711436743,36542.43597756536,0.057693874396635314
2008,2. NOA-Resto,M,Enseñanza,Servicios,1845.165850951841,36542.43597756536,0.050493783503777666
2008,2. NOA-Resto,N,Salud,Servicios,1369.3116869121832,36542.43597756536,0.037471822835041704
2008,2. NOA-Resto,O,"Serv. comunitarios, sociales y personales",Servicios,806.1732396407937,36542.43597756536,0.02206128896649722
2008,2. NOA-Resto,P,Servicio doméstico,Servicios,227.42864438445218,36542.43597756536,0.006223685922965791
2008,3. La Rioja,A,Agro,Bienes,124.2971357478905,3083.524513554362,0.040310085164399705
2008,3. La Rioja,B,Pesca,Bienes,0,3083.524513554362,0
2008,3. La Rioja,C,Petróleo y minería,Bienes,6.586843841824493,3083.524513554362,0.002136141228282915
2008,3. La Rioja,D,Industria manufacturera,Bienes,842.6517734625825,3083.524513554362,0.2732755227852113
2008,3. La Rioja,E,"Electricidad, gas y agua",Bienes,40.77571671803958,3083.524513554362,0.01322373684360227
2008,3. La Rioja,F,Construcción,Bienes,156.95306769702626,3083.524513554362,0.050900541574131125
2008,3. La Rioja,G,Comercio,Servicios,522.1371388787059,3083.524513554362,0.16933127548801005
2008,3. La Rioja,H,Hotelería y restaurantes,Servicios,105.64950974569025,3083.524513554362,0.03426258143279965
2008,3. La Rioja,I,Transporte y comunicaciones,Servicios,177.51696845703003,3083.524513554362,0.057569501288772695
2008,3. La Rioja,J,Finanzas,Servicios,90.33577674281297,3083.524513554362,0.029296273256697224
2008,3. La Rioja,K,Serv. inmobiliarios y profesionales,Servicios,341.8846599268844,3083.524513554362,0.11087463661276227
2008,3. La Rioja,L,Adm. pública y defensa,Servicios,300.85602268657436,3083.524513554362,0.09756887657746534
2008,3. La Rioja,M,Enseñanza,Servicios,200.93659255556992,3083.524513554362,0.0651645841219376
2008,3. La Rioja,N,Salud,Servicios,86.09483077327272,3083.524513554362,0.027920916598788988
2008,3. La Rioja,O,"Serv. comunitarios, sociales y personales",Servicios,60.1888948347227,3083.524513554362,0.01951951235352538
2008,3. La Rioja,P,Servicio doméstico,Servicios,26.659581485735274,3083.524513554362,0.008645814673613514
2009,1. Resto país,A,Agro,Bienes,31912.776016061438,474427.2898829318,0.06726589447233555
2009,1. Resto país,B,Pesca,Bienes,1614.5748666015002,474427.2898829318,0.00340320824925545
2009,1. Resto país,C,Petróleo y minería,Bienes,22355.88788258508,474427.2898829318,0.0471218421859787
2009,1. Resto país,D,Industria manufacturera,Bienes,105768.44917453999,474427.2898829318,0.2229392183587059
2009,1. Resto país,E,"Electricidad, gas y agua",Bienes,9704.834545501557,474427.2898829318,0.020455894406698847
2009,1. Resto país,F,Construcción,Bienes,17250.683771192424,474427.2898829318,0.03636106973409803
2009,1. Resto país,G,Comercio,Servicios,72384.91726195275,474427.2898829318,0.1525732579165381
2009,1. Resto país,H,Hotelería y restaurantes,Servicios,8689.16225893383,474427.2898829318,0.01831505574031785
2009,1. Resto país,I,Transporte y comunicaciones,Servicios,42426.45066576182,474427.2898829318,0.08942666573044489
2009,1. Resto país,J,Finanzas,Servicios,21661.542572460028,474427.2898829318,0.045658297982405616
2009,1. Resto país,K,Serv. inmobiliarios y profesionales,Servicios,60883.5391242239,474427.2898829318,0.12833060075285158
2009,1. Resto país,L,Adm. pública y defensa,Servicios,24089.11262813351,474427.2898829318,0.05077514118987056
2009,1. Resto país,M,Enseñanza,Servicios,19417.566446703204,474427.2898829318,0.040928434895670995
2009,1. Resto país,N,Salud,Servicios,16549.562038639517,474427.2898829318,0.03488324215650249
2009,1. Resto país,O,"Serv. comunitarios, sociales y personales",Servicios,16067.339375132562,474427.2898829318,0.03386681103251309
2009,1. Resto país,P,Servicio doméstico,Servicios,3650.8912545087046,474427.2898829318,0.007695365195812381
2009,2. NOA-Resto,A,Agro,Bienes,3970.752349768555,34149.38408688708,0.11627595799870581
2009,2. NOA-Resto,B,Pesca,Bienes,0,34149.38408688708,0
2009,2. NOA-Resto,C,Petróleo y minería,Bienes,2345.573680985289,34149.38408688708,0.0686856803922844
2009,2. NOA-Resto,D,Industria manufacturera,Bienes,4703.103003783176,34149.38408688708,0.13772145909914393
2009,2. NOA-Resto,E,"Electricidad, gas y agua",Bienes,709.5941093755632,34149.38408688708,0.020779118814269863
2009,2. NOA-Resto,F,Construcción,Bienes,1661.4444887515933,34149.38408688708,0.04865225342056949
2009,2. NOA-Resto,G,Comercio,Servicios,6251.22508602482,34149.38408688708,0.1830552805907035
2009,2. NOA-Resto,H,Hotelería y restaurantes,Servicios,618.37292140863,34149.38408688708,0.018107879188546686
2009,2. NOA-Resto,I,Transporte y comunicaciones,Servicios,2886.129165837017,34149.38408688708,0.08451482341508035
