jurisdiccion,subrubro,tipo_fila,fecha,anio,exportaciones_millones_usd,provisorio,la_rioja_region
Formosa,Animales vivos,subrubro,1994-01-01,1994,7.511,FALSE,1. Resto país
Formosa,Cereales,subrubro,1994-01-01,1994,5.722,FALSE,1. Resto país
Formosa,Fibras de algodón,subrubro,1994-01-01,1994,10.491,FALSE,1. Resto país
Formosa,Frutas frescas,subrubro,1994-01-01,1994,0.571,FALSE,1. Resto país
Formosa,Petróleo crudo,subrubro,1994-01-01,1994,9.005,FALSE,1. Resto país
Formosa,Resto de productos,subrubro,1994-01-01,1994,1.736,FALSE,1. Resto país
Formosa,Total,total,1994-01-01,1994,35.035,FALSE,1. Resto país
Jujuy,"Azúcar ,cacao y artículos de confitería",subrubro,1994-01-01,1994,7.3,FALSE,2. NOA-Resto
Jujuy,Frutas frescas,subrubro,1994-01-01,1994,3.997,FALSE,2. NOA-Resto
Jujuy,Hortalizas y legumbres sin elaborar,subrubro,1994-01-01,1994,7.096,FALSE,2. NOA-Resto
Jujuy,"Papel, cartón, impresos y publicaciones",subrubro,1994-01-01,1994,3.205,FALSE,2. NOA-Resto
Jujuy,Resto de productos,subrubro,1994-01-01,1994,21.98,FALSE,2. NOA-Resto
Jujuy,Tabaco sin elaborar,subrubro,1994-01-01,1994,27.128,FALSE,2. NOA-Resto
Jujuy,Total,total,1994-01-01,1994,70.706,FALSE,2. NOA-Resto
La Pampa,Carnes,subrubro,1994-01-01,1994,3.323,FALSE,1. Resto país
La Pampa,Cereales,subrubro,1994-01-01,1994,72.976,FALSE,1. Resto país
La Pampa,Miel,subrubro,1994-01-01,1994,6.454,FALSE,1. Resto país
La Pampa,Petróleo crudo,subrubro,1994-01-01,1994,12.381,FALSE,1. Resto país
La Pampa,Resto de productos,subrubro,1994-01-01,1994,6.25,FALSE,1. Resto país
La Pampa,Semillas y frutos oleaginosos,subrubro,1994-01-01,1994,29.54,FALSE,1. Resto país
La Pampa,Total,total,1994-01-01,1994,130.924,FALSE,1. Resto país
La Rioja,"Bebidas, líquidos alcohólicos y vinagre",subrubro,1994-01-01,1994,0,FALSE,3. La Rioja
La Rioja,"Papel, cartón, impresos y publicaciones",subrubro,1994-01-01,1994,6.055,FALSE,3. La Rioja
La Rioja,Pieles y cueros,subrubro,1994-01-01,1994,50.736,FALSE,3. La Rioja
La Rioja,"Preparados de hortalizas, legumbres y frutas",subrubro,1994-01-01,1994,11.081,FALSE,3. La Rioja
La Rioja,Resto de productos,subrubro,1994-01-01,1994,1.222,FALSE,3. La Rioja
La Rioja,Textiles y confecciones,subrubro,1994-01-01,1994,0.657,FALSE,3. La Rioja
La Rioja,Total,total,1994-01-01,1994,69.887,FALSE,3. La Rioja
Mendoza,"Bebidas, líquidos alcohólicos y vinagre",subrubro,1994-01-01,1994,30.479,FALSE,1. Resto país
Mendoza,Frutas frescas,subrubro,1994-01-01,1994,32.825,FALSE,1. Resto país
Mendoza,Hortalizas y legumbres sin elaborar,subrubro,1994-01-01,1994,54.487,FALSE,1. Resto país
Mendoza,Petróleo crudo,subrubro,1994-01-01,1994,46.148,FALSE,1. Resto país
Mendoza,"Preparados de hortalizas, legumbres y frutas",subrubro,1994-01-01,1994,46.814,FALSE,1. Resto país
Mendoza,Resto de productos,subrubro,1994-01-01,1994,249.749,FALSE,1. Resto país
Mendoza,Total,total,1994-01-01,1994,460.504,FALSE,1. Resto país
Misiones,"Café, té, yerba mate y especias",subrubro,1994-01-01,1994,51.847,FALSE,1. Resto país
Misiones,Frutas frescas,subrubro,1994-01-01,1994,2.253,FALSE,1. Resto país
Misiones,Grasas y aceites,subrubro,1994-01-01,1994,2.447,FALSE,1. Resto país
Misiones,"Papel, cartón, impresos y publicaciones",subrubro,1994-01-01,1994,62.611,FALSE,1. Resto país
